channel_name,videos_analyzed,avg_views,median_views,total_views,avg_likes,avg_comments,avg_engagement_rate,avg_like_rate,avg_duration_min,avg_views_per_sub,avg_views_per_day,subscribers,er_flag
Arun Maini,6,12353.67,10206.0,74122,377.67,41.67,3.84,3.55,28.91,0.0,6725.62,3490000,Good
Dave2D,50,690432.52,596007.5,34521626,20271.52,1874.7,3.46,3.17,8.01,0.19,6226.11,3690000,Good
JerryRigEverything,40,2163249.7,1285581.5,86529988,64752.28,4322.7,3.88,3.56,8.85,0.22,14428.77,9910000,Good
Linus Tech Tips,7,790558.71,655907.0,5533911,33111.71,1697.43,4.78,4.49,53.98,0.05,242122.1,16800000,Good
MKBHD,16,3992525.31,3482872.0,63880405,110030.44,7717.5,3.0,2.82,10.09,0.19,38623.8,20800000,Good
MrMobile,50,246735.36,228496.0,12336768,9669.44,764.88,4.4,4.1,13.47,0.19,2520.71,1270000,Good
TechLinked,47,474244.45,453632.0,22289489,22330.51,1187.91,5.12,4.86,8.77,0.24,9850.93,1990000,Great
Unbox Therapy,4,541214.0,441868.5,2164856,4905.75,101.75,1.89,1.83,3.01,0.02,101148.02,25200000,Below Benchmark
